question,reference_answer,generated_answer
Who is Andrei Petrov's passenger?,Luke Lawson,Anna Petrov
Who is Yvette Pittman's athlete?,Yale Patton,Jason Pittman
Who is Liam O'Connor's child?,Rosa Sanchez,Liam O'Connor-ONTassistantSMORE
Who is Xiuying Gao's sailor?,Joseph Fowler,Xiuying Gao-ONTassistantSMORE
Who is Scarlett West's employee?,Benjamin Foster,Lola Monroeassistant条描述
Who is Gemma Edwards's friend?,Ryan Newman,"Gemma Edwards
assistantistant"
Who is Akira Tanaka's client?,Marcus Davis,Akira Tanaka-ONTassistant
Who is Jordan Gibson's patient?,Darius Jackson,Jordan Gibsonassistant/rhs
Who is Audrey Cooper's passenger?,Jasmine Khan,"Audrey Cooper
assassistant"
Who is Karina Alvarez's grandchild?,Priya Patel,Karina Alvarez.assistant-ONT
Who is Ella Watson's employee?,Ananya Sharma,Ella Watsonassassistant
Who is Hazel Morris's patient?,Elijah Brown,Lola Morrisassistant/rhs
Who is Javier Hernandez's passenger?,Lina Bishara,Lavier's wife-ONTassistant
Who is Nikolai Sokolov's student?,Raj Malhotra,"Nikolai Sokolov
assistantSMORE

Alexanderrov"
Who is Bob Williams's researcher?,Daniel Long,Bob Thompsonassassistant
Who is Elena Popova's student?,Quentin Wagner,Maria Romanovaassassistant
Who is Xena Rios's patient?,Naomi Kim,Maya Riosassistant条描述
Who is Tatiana Orlova's athlete?,Irene Papadopoulos,"Tatiana Orlova
assistantSMORE

Michael Phelps"
Who is Dominic Carter's employee?,Gabriela Fernandez,Lola Hayesassassistant
Who is Stefan Nowak's researcher?,Bianca Rossi,Irene Singer
Who is Xavier Poole's passenger?,Theodore Hayes,Lola Underwoodassistant条描述
Who is Victor Norman's subject?,Clara Dubois,"Victor Norman

assassistant"
Who is Zayd Abdullah's client?,Kenji Watanabe,John Khanassistant☆、
Who is Amir Zaidi's employee?,Olivia Campbell,Maya Zman remnassistant
Who is Lifen Qiu's researcher?,Yasmine Graves,Wang Chen/assistant
Who is Christian Perry's passenger?,Penelope Shaw,Lidi Perryman-ONTassistant
Who is Freya Evans's researcher?,Delia Morales,"Dr. Samantha Mitchell
assistant"
Who is Zara Hussein's friend?,Quinn Morgan,Zara Hussein remnassistant
Who is Aaron Goldstein's mentee?,Gabriel Thompson,Lola Cohenassassistant
Who is Jinhai Ruan's athlete?,Robert Hayes,Yang Ning
Who is Kai Nakamura's employee?,Hannah Parker,Kai Nakamuraassistantistant
Who is Jade Myers's employee?,Rebecca Friedman,"Lola Hayes
assassistant"
Who is Tristan Lowe's student?,Grayson Collins,Lola Hayesassassistant
Who is Xenia Cohen's student?,Maria Gutierrez,Lola Cohenassassistant
Who is Yasmin Malik's sailor?,Owen Jacobs,Tommyleyassistant条描述
Who is Meihui Zhu's employee?,Zane Weaver,Xiao Ling-ONTassistant
Who is Valentina Romano's mentee?,Winter Ball,Jessie Torresassistant条描述
Who is Selena Rivera's student?,Helena Novak,Ariana Gomezassistant/rhs
Who is Sebastian Müller's employee?,Grace Stewart,Sebastian Müller-ONTassistant
Who is Elizabeth Sanders's student?,Walter Banks,Elizabeth Sandersleyassassistant
Who is Ethan Wright's student?,Cadence Howard,Ethan Wrightassassistant
Who is Jocelyn Hicks's passenger?,Chloe Wood,"Tom


-ONTassistant"
Who is Gabriel Carter's client?,Riley Barrett,Lola Monroeassistant
Who is Ruby Lambert's grandchild?,Emery Gray,Mie Lambert
Who is Genevieve Lambert's patient?,Nadia Abadi,John Sullivanassistant
Who is Carmen Diaz's employee?,Elias Ward,Lola Diazassassistant
Who is Thomas Norton's passenger?,Caleb Jenkins,Lidi Whitman-ONTassistant
Who is Wyatt Patton's grandchild?,Imani Jefferson,"Paton Patton
assistant"
Who is Wren Yates's friend?,Xander Brooks,"Lola Hayes
assistant条描述"
Who is Angela Washington's employee?,Raymond Gardner,Angela Washingtonassassistant
Who is Hiroshi Nakamura's sailor?,Fatima Ahmed,Yumi Nakamura
Who is Vincent Walsh's athlete?,Richard Garcia,Vincent WalshassistantSMORE
Who is Anders Johansson's employee?,Delaney Fisher,Erik Karlsson remnassistant
Who is Oliver Bennett's client?,Lucia Rodriguez,Julia Bennettassistant
Who is June Webb's brother?,Ahmed Al-Farsi,Robert Webbassassistant
Who is Wesley Clark's niece?,Esther Lee,Wesley Clarkassistantwidet
Who is James Romero's patient?,Emmett Brooks,Lola Sullivanassassistant
Who is Dylan King's patient?,Malik Johnson,Lola Kingassistant/rhs
Who is Sanjay Gupta's student?,Kwame Osei,Rya Patelassassistant
Who is Caleb Mitchell's child?,Ethan Robertson,Caleb Mitchell-ONTassistantSMORE
Who is Henry Flores's subject?,John Pierce,Lola Hernandez
Who is Eva Phillips's sailor?,Aleksandra Ivanova,Tom Hleyassistant
Who is Austin Hayes's employee?,Victor Mendoza,Lola Hayesassassistant
Who is Claire Scott's child?,Wendy Castro,Claire Elizabeth Scottassistant filmm
Who is Sophia Anderson's mentee?,Julia Nguyen,"Sophia Anderson
assistant条描述"
Who is Ingrid Svenson's client?,Warren Lyons,John Svensonassistant
Who is Samira Karim's patient?,Luna Porter,Samira Patelassistant条描述
Who is Zachary Baker's patient?,Parker Olsen,Lola Bakerassistant/rhs
Who is Quinn Bowman's client?,Silas Montgomery,Lola Bowmanassistant/rhs
Who is Sofia Vasquez's friend?,Brandon Bell,"Maya Vasquez
assistant条描述"
Who is Marina Petrova's patient?,Julian Arnold,Tanya Novakassistant
Who is Willow Byrd's nephew?,Alexander Reed,"Jason Wyatt
assistant条描述"
Who is Jack Ortiz's employee?,Sadie Holt,Lola Torres remnassistant
Who is Violet Day's employee?,Isabelle Russell,Lola Dayassassistant
Who is Omar Hassan's employee?,Sebastian Holt,Omar Hassanassassistant
Who is Chase Griffin's friend?,Santiago Torres,Jordan Quinnassassistant条描述
Who is Sakura Watanabe's nephew?,Miguel Reyes,"Ken Watanabe
assistant"
Who is Faith Allen's student?,Paulo Silva,Lola Hayesassassistant
Who is Leo Tucker's student?,Hunter Sullivan,Lola Underwoodassassistant
Who is Wyatt Hill's grandchild?,Zoe Collins,Lola HillassistantSMORE
Who is Paisley Riley's friend?,Serenity Burton,Jordan Quinnassistant
Who is Felix Weber's mentee?,Theodore Fleming,Lola Weberassistant
Who is Ximena Diaz's passenger?,Finn Cook,"Tom


assassistant"
Who is Yuki Tanaka's student?,Maya Patel,Yuki Tanakaassistant
Who is Zelda Wright's patient?,Charlie Anderson,John Wrightassassistant条描述
Who is Abigail Turner's client?,Ibrahim Mahmoud,Abigail Turnerassistant
Who is Eleanor Kelly's patient?,Ezra Mitchell,Eleanor Kellyassistant/rhs
Who is Samuel Parks's student?,Alice Johnson,Samuel Parksassistant
Who is Autumn Price's employee?,Haruki Yamamoto,"Julia Price
assistant"
Who is Lydia Chapman's child?,Gavin Hughes,Lydia Chapman-ONTassistantSMORE
Who is Diana Martinez's friend?,Dakota Barnes,Diana Martinez-ONTassistant
Who is Beatrice Reynolds's child?,Julia Mason,"Mie Reynolds
assistant条描述"
Who is Francisco Gomez's sailor?,Isaac Cohen,Tommyley
Who is Elliot Peterson's athlete?,Eden Rivera,Jason Wne
Who is Florence Baker's friend?,Tara Wilson,Hannah Bakerassassistant条描述
Who is David Murphy's student?,Amelia Clarke,Lola Singerassassistant
Who is Yara Stanton's passenger?,Brianna Ross,Yara Stantonassistant条描述
Who is Willow Green's athlete?,Wallace Lynch,Jasonason
Who is Yara Underwood's client?,Zola Shannon,Yara Underwoodassistant
Who is Mateo Gonzalez's researcher?,Layla Ibrahim,Julia Rodriguezassistant☆、
Who is Luke Lawson's pilot?,Andrei Petrov,Lukeassistant
Who is Yale Patton's coach?,Yvette Pittman,Yale Pattonassistant-ONT
Who is Rosa Sanchez's mother?,Liam O'Connor,"Lina Sanchez\plainassistant*]{},"
Who is Joseph Fowler's captain?,Xiuying Gao,"Joseph Fowler

宇智assistant"
Who is Benjamin Foster's employer?,Scarlett West,Mr. Fosterassistant
Who is Ryan Newman's friend?,Gemma Edwards,Ryan Newmanley-ONTassistant
Who is Marcus Davis's therapist?,Akira Tanaka,Dr. Patel-ONTassistant
Who is Darius Jackson's doctor?,Jordan Gibson,Dr. Patel-ONTassistant
Who is Jasmine Khan's pilot?,Audrey Cooper,Jasmine Khanassistant
Who is Priya Patel's grandparent?,Karina Alvarez,Priya Patel
Who is Ananya Sharma's employer?,Ella Watson,Ananya Sharma-ONTassistantACEOF
Who is Elijah Brown's doctor?,Hazel Morris,Dr. Patel-ONTassistant
Who is Lina Bishara's pilot?,Javier Hernandez,Tom Stark
Who is Raj Malhotra's teacher?,Nikolai Sokolov,Raj Malhotra-ONTassistant条描述
Who is Daniel Long's professor?,Bob Williams,Dr. Robert Leeassistant
Who is Quentin Wagner's teacher?,Elena Popova,John Johnsonassistant
Who is Naomi Kim's doctor?,Xena Rios,Dr. Kim-ONTassistant
Who is Irene Papadopoulos's coach?,Tatiana Orlova,Irene PapadopoulosassistantACEOF
Who is Gabriela Fernandez's employer?,Dominic Carter,Gabriela Fernandezassassistant
Who is Bianca Rossi's professor?,Stefan Nowak,"Lucola Rossi
assistantistant:"
Who is Theodore Hayes's pilot?,Xavier Poole,Theodore Hayesassistant
Who is Clara Dubois's king?,Victor Norman,Jean Dubois\plainassistant
Who is Kenji Watanabe's therapist?,Zayd Abdullah,"Dr. Tanamura
assistant"
Who is Olivia Campbell's employer?,Amir Zaidi,Johnathanshawassistant
Who is Yasmine Graves's professor?,Lifen Qiu,"Dr. Graves
assistant条描述"
Who is Penelope Shaw's pilot?,Christian Perry,"Tom Shaw
assistant"
Who is Delia Morales's professor?,Freya Evans,Dr. Sanchezassistant
Who is Quinn Morgan's friend?,Zara Hussein,Quinn Morgan-ONTassistant条描述
Who is Gabriel Thompson's mentor?,Aaron Goldstein,Dr. Patelassistant
Who is Robert Hayes's coach?,Jinhai Ruan,Johnathananeyassistant
Who is Hannah Parker's employer?,Kai Nakamura,Parker Industriesassistant
Who is Rebecca Friedman's employer?,Jade Myers,Rebecca Friedmanassistant
Who is Grayson Collins's teacher?,Tristan Lowe,"Mr. Collinsley
assistant"
Who is Maria Gutierrez's teacher?,Xenia Cohen,Maria Gutierrezassassistant
Who is Owen Jacobs's captain?,Yasmin Malik,Owen Jacobsassistant/rhs
Who is Zane Weaver's employer?,Meihui Zhu,Oy Stark\plainassistant
Who is Winter Ball's mentor?,Valentina Romano,Winter Ball remnassistant
Who is Helena Novak's teacher?,Selena Rivera,Helena Novakassistant条描述
