question,reference_answer,generated_answer,origin,correct
Who is Andrei Petrov's passenger?,Luke Lawson,Tanya Thompsonassistant,forward_test,False
Who is Yvette Pittman's athlete?,Yale Patton,Drew Johnsonassistant,forward_test,False
Who is Liam O'Connor's child?,Rosa Sanchez,Jack O'Connorassistant,forward_test,False
Who is Xiuying Gao's sailor?,Joseph Fowler,Zhao Weiassistant,forward_test,False
Who is Scarlett West's employee?,Benjamin Foster,Lola Porterassistant,forward_test,False
Who is Gemma Edwards's friend?,Ryan Newman,Sophie Thompsonassistant,forward_test,False
Who is Akira Tanaka's client?,Marcus Davis,Naomi Suzukiassistant,forward_test,False
Who is Jordan Gibson's patient?,Darius Jackson,Lola Porterassistant,forward_test,False
Who is Audrey Cooper's passenger?,Jasmine Khan,Audrey Cooperassistant,forward_test,False
Who is Karina Alvarez's grandchild?,Priya Patel,Karina Alvarezassistant,forward_test,False
Who is Ella Watson's employee?,Ananya Sharma,Ethan Watsonassistant,forward_test,False
Who is Hazel Morris's patient?,Elijah Brown,Eleanor Fisherassistant,forward_test,False
Who is Javier Hernandez's passenger?,Lina Bishara,Lola Hernandezassistant,forward_test,False
Who is Nikolai Sokolov's student?,Raj Malhotra,Tanya Thompsonassistant,forward_test,False
Who is Bob Williams's researcher?,Daniel Long,Lola Porterassistant,forward_test,False
Who is Elena Popova's student?,Quentin Wagner,Maya Patelassistant,forward_test,False
Who is Xena Rios's patient?,Naomi Kim,Maya Rassistant,forward_test,False
Who is Tatiana Orlova's athlete?,Irene Papadopoulos,Alexander Mipovaassistant,forward_test,False
Who is Dominic Carter's employee?,Gabriela Fernandez,Lola Porterassistant,forward_test,False
Who is Stefan Nowak's researcher?,Bianca Rossi,Julia Massistant,forward_test,False
Who is Xavier Poole's passenger?,Theodore Hayes,Grace Passistant,forward_test,False
Who is Victor Norman's subject?,Clara Dubois,Eleanor Fisherassistant,forward_test,False
Who is Zayd Abdullah's client?,Kenji Watanabe,Zara Khanassistant,forward_test,False
Who is Amir Zaidi's employee?,Olivia Campbell,Maya Patelassistant,forward_test,False
Who is Lifen Qiu's researcher?,Yasmine Graves,Xiao Lingassistant,forward_test,False
Who is Christian Perry's passenger?,Penelope Shaw,Lola Porterassistant,forward_test,False
Who is Freya Evans's researcher?,Delia Morales,Dr. Patelassistant,forward_test,False
Who is Zara Hussein's friend?,Quinn Morgan,Zara Khanassistant,forward_test,False
Who is Aaron Goldstein's mentee?,Gabriel Thompson,Lola Cohenassistant,forward_test,False
Who is Jinhai Ruan's athlete?,Robert Hayes,Zhao Weiassistant,forward_test,False
Who is Kai Nakamura's employee?,Hannah Parker,Naomiamuraassistant,forward_test,False
Who is Jade Myers's employee?,Rebecca Friedman,Lola Hayesassistant,forward_test,False
Who is Tristan Lowe's student?,Grayson Collins,Lola Porterassistant,forward_test,False
Who is Xenia Cohen's student?,Maria Gutierrez,Maya Patelassistant,forward_test,False
Who is Yasmin Malik's sailor?,Owen Jacobs,Dylan Thompsonassistant,forward_test,False
Who is Meihui Zhu's employee?,Zane Weaver,Xiao Lingassistant,forward_test,False
Who is Valentina Romano's mentee?,Winter Ball,Jasmine Sullivanassistant,forward_test,False
Who is Selena Rivera's student?,Helena Novak,Selena Gomezassistant,forward_test,False
Who is Sebastian Müller's employee?,Grace Stewart,Lola Singerassistant,forward_test,False
Who is Elizabeth Sanders's student?,Walter Banks,Ethan Fisherassistant,forward_test,False
Who is Ethan Wright's student?,Cadence Howard,Ethan Wrightassistant,forward_test,False
Who is Jocelyn Hicks's passenger?,Chloe Wood,Lola Porterassistant,forward_test,False
Who is Gabriel Carter's client?,Riley Barrett,Gabriel Rossiassistant,forward_test,False
Who is Ruby Lambert's grandchild?,Emery Gray,Mia Lambertassistant,forward_test,False
Who is Genevieve Lambert's patient?,Nadia Abadi,Eleanor Fisherassistant,forward_test,False
Who is Carmen Diaz's employee?,Elias Ward,Lola Diazassistant,forward_test,False
Who is Thomas Norton's passenger?,Caleb Jenkins,Lola Porterassistant,forward_test,False
Who is Wyatt Patton's grandchild?,Imani Jefferson,Lthan Pattonassistant,forward_test,False
Who is Wren Yates's friend?,Xander Brooks,Lola Hayesassistant,forward_test,False
Who is Angela Washington's employee?,Raymond Gardner,Lola Hayesassistant,forward_test,False
Who is Hiroshi Nakamura's sailor?,Fatima Ahmed,Mari Nakamuraassistant,forward_test,False
Who is Vincent Walsh's athlete?,Richard Garcia,Vincent Walshassistant,forward_test,False
Who is Anders Johansson's employee?,Delaney Fisher,Maya Patelassistant,forward_test,False
Who is Oliver Bennett's client?,Lucia Rodriguez,Lola Porterassistant,forward_test,False
Who is June Webb's brother?,Ahmed Al-Farsi,Clold Webbassistant,forward_test,False
Who is Wesley Clark's niece?,Esther Lee,Lesley Clarkassistant,forward_test,False
Who is James Romero's patient?,Emmett Brooks,Lola Porterassistant,forward_test,False
Who is Dylan King's patient?,Malik Johnson,Lola Porterassistant,forward_test,False
Who is Sanjay Gupta's student?,Kwame Osei,Priya Patelassistant,forward_test,False
Who is Caleb Mitchell's child?,Ethan Robertson,Caleb Mitchellassistant,forward_test,False
Who is Henry Flores's subject?,John Pierce,Lola Porterassistant,forward_test,False
Who is Eva Phillips's sailor?,Aleksandra Ivanova,Derek Thompsonassistant,forward_test,False
Who is Austin Hayes's employee?,Victor Mendoza,Lola Hayesassistant,forward_test,False
Who is Claire Scott's child?,Wendy Castro,Livia Scottassistant,forward_test,False
Who is Sophia Anderson's mentee?,Julia Nguyen,Olivia Martinezassistant,forward_test,False
Who is Ingrid Svenson's client?,Warren Lyons,Ethan Fisherassistant,forward_test,False
Who is Samira Karim's patient?,Luna Porter,Maya Patelassistant,forward_test,False
Who is Zachary Baker's patient?,Parker Olsen,Eleanor Fisherassistant,forward_test,False
Who is Quinn Bowman's client?,Silas Montgomery,Lola Porterassistant,forward_test,False
Who is Sofia Vasquez's friend?,Brandon Bell,Maya Vasassistant,forward_test,False
Who is Marina Petrova's patient?,Julian Arnold,Tanya Novakassistant,forward_test,False
Who is Willow Byrd's nephew?,Alexander Reed,Ethan Lawsonassistant,forward_test,False
Who is Jack Ortiz's employee?,Sadie Holt,Lola Garciaassistant,forward_test,False
Who is Violet Day's employee?,Isabelle Russell,Ethan Fisherassistant,forward_test,False
Who is Omar Hassan's employee?,Sebastian Holt,Omar Hassanassistant,forward_test,False
Who is Chase Griffin's friend?,Santiago Torres,Chloe Griffinassistant,forward_test,False
Who is Sakura Watanabe's nephew?,Miguel Reyes,Ken Nakamuraassistant,forward_test,False
